2020:108:07:06:01  rack_temp  314.97 Kelvin, ambient_temp  314.94 Kelvin, ambient_hum   11.00 percent, frontend  300.09 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:11:01  rack_temp  314.77 Kelvin, ambient_temp  314.00 Kelvin, ambient_hum   10.86 percent, frontend  300.11 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:16:01  rack_temp  315.18 Kelvin, ambient_temp  315.78 Kelvin, ambient_hum   10.14 percent, frontend  300.11 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:21:01  rack_temp  315.18 Kelvin, ambient_temp  313.70 Kelvin, ambient_hum   12.00 percent, frontend  300.07 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:26:01  rack_temp  314.97 Kelvin, ambient_temp  312.40 Kelvin, ambient_hum   12.92 percent, frontend  300.07 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:31:01  rack_temp  314.97 Kelvin, ambient_temp  311.65 Kelvin, ambient_hum   13.58 percent, frontend  300.11 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:36:01  rack_temp  314.97 Kelvin, ambient_temp  311.05 Kelvin, ambient_hum   13.04 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:41:01  rack_temp  314.97 Kelvin, ambient_temp  311.82 Kelvin, ambient_hum   13.27 percent, frontend  299.98 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:46:01  rack_temp  315.18 Kelvin, ambient_temp  311.19 Kelvin, ambient_hum   13.14 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:51:01  rack_temp  314.97 Kelvin, ambient_temp  311.54 Kelvin, ambient_hum   12.75 percent, frontend  299.94 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:56:01  rack_temp  314.97 Kelvin, ambient_temp  310.97 Kelvin, ambient_hum   13.20 percent, frontend  299.94 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:01:01  rack_temp  314.77 Kelvin, ambient_temp  310.57 Kelvin, ambient_hum   13.34 percent, frontend  299.94 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:06:01  rack_temp  314.77 Kelvin, ambient_temp  310.63 Kelvin, ambient_hum   13.79 percent, frontend  299.93 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:11:01  rack_temp  314.77 Kelvin, ambient_temp  310.60 Kelvin, ambient_hum   13.85 percent, frontend  299.82 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:16:01  rack_temp  314.57 Kelvin, ambient_temp  310.23 Kelvin, ambient_hum   14.38 percent, frontend  299.78 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:21:01  rack_temp  314.77 Kelvin, ambient_temp  311.43 Kelvin, ambient_hum   13.86 percent, frontend  299.78 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:26:02  rack_temp  314.57 Kelvin, ambient_temp  309.97 Kelvin, ambient_hum   13.85 percent, frontend  299.80 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:31:01  rack_temp  314.57 Kelvin, ambient_temp  309.82 Kelvin, ambient_hum   14.26 percent, frontend  299.77 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:36:01  rack_temp  314.57 Kelvin, ambient_temp  309.46 Kelvin, ambient_hum   14.47 percent, frontend  299.78 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:41:01  rack_temp  314.36 Kelvin, ambient_temp  309.26 Kelvin, ambient_hum   14.84 percent, frontend  299.73 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:46:01  rack_temp  314.16 Kelvin, ambient_temp  308.91 Kelvin, ambient_hum   15.12 percent, frontend  299.68 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:51:01  rack_temp  314.16 Kelvin, ambient_temp  308.71 Kelvin, ambient_hum   15.53 percent, frontend  299.73 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:08:56:01  rack_temp  313.96 Kelvin, ambient_temp  308.56 Kelvin, ambient_hum   15.82 percent, frontend  299.68 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:01:01  rack_temp  313.75 Kelvin, ambient_temp  308.27 Kelvin, ambient_hum   16.32 percent, frontend  299.59 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:06:01  rack_temp  313.75 Kelvin, ambient_temp  308.34 Kelvin, ambient_hum   16.52 percent, frontend  299.59 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:11:01  rack_temp  313.75 Kelvin, ambient_temp  308.08 Kelvin, ambient_hum   16.57 percent, frontend  299.52 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:16:01  rack_temp  313.55 Kelvin, ambient_temp  307.93 Kelvin, ambient_hum   16.89 percent, frontend  299.52 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:09:21:01  rack_temp  313.55 Kelvin, ambient_temp  307.57 Kelvin, ambient_hum   17.27 percent, frontend  299.50 Kelvin, rcv3_lna  273.20 Kelvin
